repo_name,repo_owner,commit_id,committer_name,date,code_size_LOC,repo_size_LOC
swift-argument-parser,apple,fa538c256024a722e092539b5d47f6094d21cf90,GitHub,2020-03-09 15:36:19+00:00,0,0.0
swift-argument-parser,apple,1e05511552fed58f45a764b0b0ac1296cdb4495f,GitHub,2020-03-09 17:12:42-05:00,374,74.8
swift-argument-parser,apple,34300696f55ce2d1a845ac63c454a8419877d765,Nate Cook,2020-03-09 11:23:44-07:00,0,0.0
swift-argument-parser,apple,39616cbbf90142a5ab40a5c86d84c19db8a82463,GitHub,2020-03-10 19:56:12-04:00,0,0.0
swift-argument-parser,apple,bbe4ec142bf3b7f5553a02c2d5026572ceacd365,GitHub,2020-03-10 21:34:00-06:00,22,7.33
swift-argument-parser,apple,164f9a71ec5fbac2df2962e4af83c885a2588c0b,Nate Cook,2020-03-10 22:51:20-05:00,22,22.0
swift-argument-parser,apple,747d6e57485df49043c75bb22350195a80cf4b0e,GitHub,2020-03-12 14:28:33+09:00,98,24.5
swift-argument-parser,apple,59d36639e88dc5e3da08e22b11d1356ce945bdff,Nate Cook,2020-03-12 00:58:19-05:00,10,10.0
swift-argument-parser,apple,ebb9a45751baf07e6fa0973f37925a34bf1a1408,GitHub,2020-03-12 11:33:25-05:00,146,36.5
swift-argument-parser,apple,c5263709064113253bb71d94fd27f7afe522f382,Nate Cook,2020-03-12 11:36:03-05:00,0,0.0
swift-argument-parser,apple,28b51d494523ac8efe574739ac1e8059c31d8088,GitHub,2020-03-12 17:37:02+01:00,36,12.0
swift-argument-parser,apple,9af92b684e0ea28173cb92fa4874e82944dcfb98,GitHub,2020-03-13 19:53:08+01:00,0,0.0
swift-argument-parser,apple,12941604a7cd6c31555b014ce3f5f8348a51564a,GitHub,2020-03-14 03:55:38+09:00,90,30.0
swift-argument-parser,apple,2f7e13ae2ac0547c5fc71ee3bd5be13667574dd7,GitHub,2020-03-16 22:41:24+08:00,148,49.33
swift-argument-parser,apple,46464fd2e225193cda964494479e76c3d2c4a842,GitHub,2020-03-17 00:12:38+08:00,126,63.0
swift-argument-parser,apple,da56110041afb5514694598e597939d2c886e603,Nate Cook,2020-03-17 10:53:46-05:00,24,24.0
swift-argument-parser,apple,b01be8e51a7a49e48b60c97d01574ebbc1e4b7dc,Nate Cook,2020-03-17 10:54:42-05:00,0,0.0
swift-argument-parser,apple,4ac7d890e5732fdc770ba1a6e6a9454f3c63c0e6,Nate Cook,2020-03-17 11:15:26-05:00,0,0.0
swift-argument-parser,apple,454821303dd0995fa0eb18f848612f51260182a3,Nate Cook,2020-03-17 11:40:15-05:00,42,7.0
swift-argument-parser,apple,81b8064dbd99cf75a4734fa64efe5e680d0b4d9c,Nate Cook,2020-03-17 13:39:12-05:00,26,26.0
swift-argument-parser,apple,2d8a9bd1badfcf33fa96534d8db93c09d7884c72,GitHub,2020-03-19 00:29:33+08:00,0,0.0
swift-argument-parser,apple,9e77589d8532789635dc06e9ffce0280e2ca83d1,GitHub,2020-03-20 13:23:49-05:00,64,21.33
swift-argument-parser,apple,ddc828f8cb6b60600cf7360376838621eaa466e1,GitHub,2020-03-21 12:44:32-05:00,148,18.5
swift-argument-parser,apple,72fb0b168c5f97b00a80721cd86d229ee04d90b3,GitHub,2020-03-22 13:27:13-05:00,132,44.0
swift-argument-parser,apple,e37198976f726e9bf12ac71f3031e90131013f6c,GitHub,2020-03-23 03:30:11+09:00,50,25.0
swift-argument-parser,apple,ab0f98fe241c04b5a1e91ead9521bdaab0094c9b,Nate Cook,2020-03-22 13:54:38-05:00,-2,-2.0
swift-argument-parser,apple,14c7622293ffbb7a235e896e37adf7eb089884a3,Nate Cook,2020-03-22 19:03:38-05:00,36,36.0
swift-argument-parser,apple,d875544e9638843e9256c824764cd94ee584b366,Nate Cook,2020-03-23 13:38:29-05:00,4,4.0
swift-argument-parser,apple,8d31a0905c346a45c87773ad50862b5b3df8dff6,Nate Cook,2020-03-23 13:47:23-05:00,14,14.0
swift-argument-parser,apple,4922eaa2db462df3eac54c38224b5e6d2b4676d1,Nate Cook,2020-03-23 15:12:40-05:00,4,4.0
swift-argument-parser,apple,0458ae288ed91af39718a93fbc2c6cbba8de4195,GitHub,2020-03-28 02:48:07+08:00,456,114.0
swift-argument-parser,apple,023730bdda30adc0e40a37af94ef420c26585fdd,GitHub,2020-03-30 03:57:50+08:00,198,49.5
swift-argument-parser,apple,31799bc1b4015eec8a31d42a1f108b2955ec9a31,GitHub,2020-03-30 12:36:21-05:00,294,22.62
swift-argument-parser,apple,0b8a81924dabcfc1854f3f7186d08afed985cc45,Nate Cook,2020-03-31 14:58:47-05:00,22,22.0
swift-argument-parser,apple,42c9d4a02c029b8a0cda54060d4f4bbd0303405e,GitHub,2020-04-08 11:00:57-07:00,184,61.33
swift-argument-parser,apple,ac24dc6cafcc9cff9ec628df654bbae4123a84e4,Nate Cook,2020-04-09 13:28:59-05:00,10,5.0
swift-argument-parser,apple,047ac93a0247a3a0f47580bff9445e9a7acf8d58,GitHub,2020-04-11 05:03:46+02:00,24,24.0
swift-argument-parser,apple,ff363dccdde5ec73dab0cb64b273f1ce1c7c2bc7,GitHub,2020-04-15 14:30:37-05:00,-6,-6.0
swift-argument-parser,apple,9f04d1ff1afbccd02279338a2c91e5f27c45e93a,GitHub,2020-04-15 14:48:23-05:00,42,42.0
swift-argument-parser,apple,c114852474746f3a6573c1448e231854afb38807,GitHub,2020-04-18 18:21:51-06:00,418,209.0
swift-argument-parser,apple,f9329cbc4caf1ed6e886beb0fa24ccb7b0f34f3e,GitHub,2020-04-21 07:27:40-07:00,16,16.0
swift-argument-parser,apple,0a5d9d09fff985f5e1d479936885588e34b12336,GitHub,2020-04-21 15:31:45+01:00,6,6.0
swift-argument-parser,apple,1081d08b1d716e6a68a9cbc258bb309359fbae1e,GitHub,2020-04-21 15:31:57+01:00,484,69.14
swift-argument-parser,apple,c23dfb26daff914b2111d21389a6282adc2b9231,GitHub,2020-05-03 14:08:44-05:00,0,0.0
swift-argument-parser,apple,3166c458f99e51892aab0675ec2d1efb373864ed,GitHub,2020-05-04 23:32:45-05:00,8,8.0
swift-argument-parser,apple,e870503c45f53e70d820a6ed0f694065a506e626,GitHub,2020-05-10 17:08:44-05:00,524,58.22
swift-argument-parser,apple,809b2f9a04227efe86cfc8483d1110060455f1c9,GitHub,2020-05-11 14:19:23-05:00,2,2.0
swift-argument-parser,apple,7fc05c0da14d692073f0c477913e9dc97128b833,GitHub,2020-05-12 10:56:46-05:00,44,11.0
swift-argument-parser,apple,501bf60536048755cfcfae6d4d529049277c848b,GitHub,2020-05-14 09:08:19-05:00,78,13.0
