repo_name,repo_owner,commit_id,committer_name,date,code_size_LOC,repo_size_LOC
Simple-Java-Calculator,pH-7,d1396a2d26495ce900c516042607c1f3031dd4c4,Pierre-Henry SORIA,2012-05-03 17:45:54+02:00,1012,101.2
Simple-Java-Calculator,pH-7,4ad85a90f150e62e120ececea8d055c456555573,Pierre,2012-05-03 19:04:40+03:00,4,4.0
Simple-Java-Calculator,pH-7,619dbec510371e5365e9feb13dad0b7cdd4523cb,Pierre-Henry SORIA,2012-05-06 17:46:47+02:00,0,0.0
Simple-Java-Calculator,pH-7,4803a27a370a32f50d4ea628b7bb7540778d8c77,Archie Gunasekara,2015-09-05 16:58:00+10:00,3162,150.57
Simple-Java-Calculator,pH-7,1651b111f7b1197ef4d37087ea3f5f1a4fbb2653,Archie Gunasekara,2015-09-05 17:03:47+10:00,0,0.0
Simple-Java-Calculator,pH-7,c8e66cc14a964859acdbc155eea74d548de13fe7,Archie Gunasekara,2015-09-05 17:10:52+10:00,106,53.0
Simple-Java-Calculator,pH-7,2ec64b7100768981da0f02cbab219e881ffbc5d1,Archie Gunasekara,2015-09-05 17:14:59+10:00,2,1.0
Simple-Java-Calculator,pH-7,e0b2ec901e7196573f38310f209186617f2c41cc,Archie Gunasekara,2015-09-21 16:16:05+10:00,0,0.0
Simple-Java-Calculator,pH-7,f8bdc84a479425aa495905621bc90df6d746d72e,PH Soria,2015-09-22 23:51:24+01:00,3270,142.17
Simple-Java-Calculator,pH-7,07aff1e567139bd3e49df16e1b26df0f4966151b,PH Soria,2015-09-23 00:00:18+01:00,6,6.0
Simple-Java-Calculator,pH-7,ce40e4428518589850aa0f8555a85064c836588a,Eamon,2015-10-04 19:19:16+01:00,-122,-122.0
Simple-Java-Calculator,pH-7,9c913601d9a72d4025086635426af4d8b67109b8,PH Soria,2015-10-22 22:23:48+01:00,-122,-122.0
Simple-Java-Calculator,pH-7,a8af9d8348abb7984d84bdf9d01728c2d3bd1a6a,hcz,2015-11-17 10:14:36+08:00,80,20.0
Simple-Java-Calculator,pH-7,60b028d315655524150b9317ce99a6d02fb817f8,hcz,2015-11-17 11:13:08+08:00,40,20.0
Simple-Java-Calculator,pH-7,aa98ce9309e44bc2c26f9c4e3a22a7fbd9af3727,hcz,2015-11-17 11:57:06+08:00,60,30.0
Simple-Java-Calculator,pH-7,4a6e4b7003b28e61fa945c63245abe24c28137a6,hcz,2015-11-17 11:58:24+08:00,56,18.67
Simple-Java-Calculator,pH-7,2cc08b8232b4e294dc070094164ccd929c7a2534,hcz,2015-11-17 12:04:35+08:00,100,50.0
Simple-Java-Calculator,pH-7,0e63666c3928a7e8bfdc4235e08c91bb916ff49b,PH Soria,2015-11-22 01:49:00+00:00,100,50.0
Simple-Java-Calculator,pH-7,ed0fc7c381b4bffbfd474b0c0a34538ba62434e1,Pierre-Henry Soria,2017-01-26 00:00:41+00:00,0,0.0
Simple-Java-Calculator,pH-7,700e8cb8059eab827f98623350cb61976be6cb7c,Pierre-Henry Soria,2017-01-26 00:06:49+00:00,0,0.0
Simple-Java-Calculator,pH-7,909d272f282e22cc6e83a3c320677f979e811e66,Pierre-Henry Soria,2017-04-14 16:14:14+01:00,6,6.0
Simple-Java-Calculator,pH-7,ed765d3259c9b1aabfbae00c725bdfb7b2a30213,Pierre-Henry Soria,2017-04-14 16:15:09+01:00,0,0.0
Simple-Java-Calculator,pH-7,67ae8afbf746debe696cdf941d898c047e657833,Pierre-Henry Soria,2017-04-14 16:16:17+01:00,0,0.0
Simple-Java-Calculator,pH-7,725d04744624f1b2f46dea55e982eda53e9bf30c,Pierre-Henry Soria,2017-04-14 16:22:43+01:00,0,0.0
Simple-Java-Calculator,pH-7,8c2729c46c21a17111e8dd5b5b71af602f72a304,GitHub,2018-01-08 01:22:06+02:00,42,42.0
Simple-Java-Calculator,pH-7,53fc1ba39abbf0c599f49adc3d42836e89363699,GitHub,2018-01-08 01:48:29+02:00,30,30.0
Simple-Java-Calculator,pH-7,343f863759a2caa910c40c161bba4f5cd2df5fb2,GitHub,2018-01-09 21:16:49+02:00,0,0.0
Simple-Java-Calculator,pH-7,8aa884c89434007002c2d912907232a8d8b3f5d7,GitHub,2018-01-09 21:21:33+02:00,0,0.0
Simple-Java-Calculator,pH-7,feccc537efd03a43562decb02b84932e5e61020e,GitHub,2018-01-09 21:54:43+02:00,0,0.0
Simple-Java-Calculator,pH-7,831cf76a77fe12f90df05abc1df7f94f5d9aa594,GitHub,2018-01-10 06:16:41+02:00,8,8.0
Simple-Java-Calculator,pH-7,1728c08315c3b468f6b1cc7365c9886149d925bb,GitHub,2018-01-10 06:19:22+02:00,0,0.0
Simple-Java-Calculator,pH-7,c74527b9b35cdc727e4b2c408b326790a7feeaa4,GitHub,2018-01-13 03:42:37+02:00,0,0.0
Simple-Java-Calculator,pH-7,f1565bbaea45ef3abd302475ba2127f1143d7760,GitHub,2018-01-13 03:43:31+02:00,0,0.0
Simple-Java-Calculator,pH-7,c3f6d9e3878ea2cb002cb44801416f1c84d77b39,GitHub,2018-01-13 11:48:25+00:00,80,26.67
Simple-Java-Calculator,pH-7,a53b59cbf5e242c7b15a0e81c0813d5a5a7d4ed8,Pierre-Henry Soria,2018-04-10 19:44:57+01:00,-18,-9.0
Simple-Java-Calculator,pH-7,3dd559e23c504b885c30feb6f00af467e47af6e8,Pierre-Henry Soria,2018-04-10 19:45:30+01:00,12,12.0
Simple-Java-Calculator,pH-7,9fc035aeebead0f982c2f498a5f57e1656f140eb,GitHub,2019-01-25 23:37:28+03:00,2,2.0
